sensor_type,device_type,timestamps,value1,value2,value3
Pressure,smartphone,1529657279857000000,1018.2445,1010.3845,0.0
Pressure,smartphone,1529657279896000000,1018.2853,1010.4253,0.0
Pressure,smartphone,1529657279933000000,1018.2853,1010.4253,0.0
Pressure,smartphone,1529657279973000000,1018.2853,1010.4253,0.0
Pressure,smartphone,1529657280011000000,1018.2853,1010.4253,0.0
Pressure,smartphone,1529657280049000000,1018.2888,1010.42883,0.0
Pressure,smartphone,1529657280088000000,1018.2888,1010.42883,0.0
Pressure,smartphone,1529657280126000000,1018.2888,1010.42883,0.0
Pressure,smartphone,1529657280165000000,1018.2888,1010.42883,0.0
Pressure,smartphone,1529657280203000000,1018.24713,1010.38715,0.0
Pressure,smartphone,1529657280242000000,1018.24713,1010.38715,0.0
Pressure,smartphone,1529657280280000000,1018.24713,1010.38715,0.0
Pressure,smartphone,1529657280319000000,1018.24713,1010.38715,0.0
Pressure,smartphone,1529657280357000000,1018.23987,1010.3799,0.0
Pressure,smartphone,1529657280395000000,1018.23987,1010.3799,0.0
Pressure,smartphone,1529657280434000000,1018.23987,1010.3799,0.0
Pressure,smartphone,1529657280472000000,1018.23987,1010.3799,0.0
Pressure,smartphone,1529657280511000000,1018.2902,1010.43024,0.0
Pressure,smartphone,1529657280549000000,1018.2902,1010.43024,0.0
Pressure,smartphone,1529657280587000000,1018.2902,1010.43024,0.0
Pressure,smartphone,1529657280626000000,1018.2902,1010.43024,0.0
Pressure,smartphone,1529657280664000000,1018.2902,1010.43024,0.0
Pressure,smartphone,1529657280703000000,1018.24097,1010.381,0.0
Pressure,smartphone,1529657280741000000,1018.24097,1010.381,0.0
Pressure,smartphone,1529657280780000000,1018.24097,1010.381,0.0
Pressure,smartphone,1529657280819000000,1018.24097,1010.381,0.0
Pressure,smartphone,1529657280856000000,1018.2593,1010.3993,0.0
Pressure,smartphone,1529657280895000000,1018.2593,1010.3993,0.0
Pressure,smartphone,1529657280933000000,1018.2593,1010.3993,0.0
Pressure,smartphone,1529657280972000000,1018.2593,1010.3993,0.0
Pressure,smartphone,1529657281011000000,1018.30927,1010.4493,0.0
Pressure,smartphone,1529657281049000000,1018.30927,1010.4493,0.0
Pressure,smartphone,1529657281088000000,1018.30927,1010.4493,0.0
Pressure,smartphone,1529657281126000000,1018.30927,1010.4493,0.0
Pressure,smartphone,1529657281165000000,1018.21356,1010.3536,0.0
Pressure,smartphone,1529657281203000000,1018.21356,1010.3536,0.0
Pressure,smartphone,1529657281241000000,1018.21356,1010.3536,0.0
Pressure,smartphone,1529657281279000000,1018.21356,1010.3536,0.0
Pressure,smartphone,1529657281318000000,1018.2063,1010.3463,0.0
Pressure,smartphone,1529657281356000000,1018.2063,1010.3463,0.0
Pressure,smartphone,1529657281395000000,1018.2063,1010.3463,0.0
Pressure,smartphone,1529657281434000000,1018.2063,1010.3463,0.0
Pressure,smartphone,1529657281472000000,1018.23395,1010.37396,0.0
Pressure,smartphone,1529657281510000000,1018.23395,1010.37396,0.0
Pressure,smartphone,1529657281548000000,1018.23395,1010.37396,0.0
Pressure,smartphone,1529657281587000000,1018.23395,1010.37396,0.0
Pressure,smartphone,1529657281625000000,1018.2595,1010.39954,0.0
Pressure,smartphone,1529657281664000000,1018.2595,1010.39954,0.0
Pressure,smartphone,1529657281703000000,1018.2595,1010.39954,0.0
Pressure,smartphone,1529657281741000000,1018.2595,1010.39954,0.0
Pressure,smartphone,1529657281779000000,1018.2623,1010.40234,0.0
Pressure,smartphone,1529657281818000000,1018.2623,1010.40234,0.0
Pressure,smartphone,1529657281857000000,1018.2623,1010.40234,0.0
Pressure,smartphone,1529657281895000000,1018.2623,1010.40234,0.0
Pressure,smartphone,1529657281933000000,1018.31494,1010.45496,0.0
Pressure,smartphone,1529657281972000000,1018.31494,1010.45496,0.0
Pressure,smartphone,1529657282010000000,1018.31494,1010.45496,0.0
Pressure,smartphone,1529657282049000000,1018.31494,1010.45496,0.0
Pressure,smartphone,1529657282087000000,1018.35016,1010.4902,0.0
Pressure,smartphone,1529657282126000000,1018.35016,1010.4902,0.0
Pressure,smartphone,1529657282164000000,1018.35016,1010.4902,0.0
Pressure,smartphone,1529657282202000000,1018.35016,1010.4902,0.0
Pressure,smartphone,1529657282240000000,1018.29224,1010.43225,0.0
Pressure,smartphone,1529657282279000000,1018.29224,1010.43225,0.0
Pressure,smartphone,1529657282317000000,1018.29224,1010.43225,0.0
Pressure,smartphone,1529657282357000000,1018.29224,1010.43225,0.0
Pressure,smartphone,1529657282395000000,1018.27905,1010.41907,0.0
Pressure,smartphone,1529657282548000000,1018.3012,1010.4412,0.0
Pressure,smartphone,1529657282587000000,1018.3012,1010.4412,0.0
Pressure,smartphone,1529657282626000000,1018.3012,1010.4412,0.0
Pressure,smartphone,1529657282664000000,1018.3012,1010.4412,0.0
Pressure,smartphone,1529657282702000000,1018.302,1010.442,0.0
Pressure,smartphone,1529657282741000000,1018.302,1010.442,0.0
Pressure,smartphone,1529657282779000000,1018.302,1010.442,0.0
Pressure,smartphone,1529657282818000000,1018.302,1010.442,0.0
Pressure,smartphone,1529657282856000000,1018.3348,1010.4748,0.0
Pressure,smartphone,1529657282895000000,1018.3348,1010.4748,0.0
Pressure,smartphone,1529657282933000000,1018.3348,1010.4748,0.0
Pressure,smartphone,1529657282971000000,1018.3348,1010.4748,0.0
Pressure,smartphone,1529657283010000000,1018.3504,1010.4904,0.0
Pressure,smartphone,1529657283049000000,1018.3504,1010.4904,0.0
Pressure,smartphone,1529657283087000000,1018.3504,1010.4904,0.0
Pressure,smartphone,1529657283125000000,1018.3504,1010.4904,0.0
Pressure,smartphone,1529657283164000000,1018.3424,1010.4824,0.0
Pressure,smartphone,1529657283202000000,1018.3424,1010.4824,0.0
Pressure,smartphone,1529657283241000000,1018.3424,1010.4824,0.0
Pressure,smartphone,1529657283279000000,1018.3424,1010.4824,0.0
Pressure,smartphone,1529657283317000000,1018.271,1010.411,0.0
Pressure,smartphone,1529657283356000000,1018.271,1010.411,0.0
Pressure,smartphone,1529657283395000000,1018.271,1010.411,0.0
Pressure,smartphone,1529657283433000000,1018.271,1010.411,0.0
Pressure,smartphone,1529657283471000000,1018.28253,1010.42255,0.0
Pressure,smartphone,1529657283510000000,1018.28253,1010.42255,0.0
Pressure,smartphone,1529657283548000000,1018.28253,1010.42255,0.0
Pressure,smartphone,1529657283587000000,1018.28253,1010.42255,0.0
Pressure,smartphone,1529657283625000000,1018.3049,1010.4449,0.0
Pressure,smartphone,1529657283663000000,1018.3049,1010.4449,0.0
Pressure,smartphone,1529657283703000000,1018.3049,1010.4449,0.0
Pressure,smartphone,1529657283741000000,1018.3049,1010.4449,0.0
Pressure,smartphone,1529657283779000000,1018.3049,1010.4449,0.0
Pressure,smartphone,1529657283817000000,1018.2599,1010.3999,0.0
Pressure,smartphone,1529657283856000000,1018.2599,1010.3999,0.0
Pressure,smartphone,1529657283895000000,1018.2599,1010.3999,0.0
Pressure,smartphone,1529657283933000000,1018.2599,1010.3999,0.0
Pressure,smartphone,1529657283971000000,1018.29285,1010.43286,0.0
Pressure,smartphone,1529657284010000000,1018.29285,1010.43286,0.0
Pressure,smartphone,1529657284048000000,1018.29285,1010.43286,0.0
Pressure,smartphone,1529657284086000000,1018.29285,1010.43286,0.0
Pressure,smartphone,1529657284125000000,1018.3086,1010.4486,0.0
Pressure,smartphone,1529657284163000000,1018.3086,1010.4486,0.0
Pressure,smartphone,1529657284202000000,1018.3086,1010.4486,0.0
Pressure,smartphone,1529657284240000000,1018.3086,1010.4486,0.0
Pressure,smartphone,1529657284279000000,1018.32996,1010.47,0.0
Pressure,smartphone,1529657284317000000,1018.32996,1010.47,0.0
Pressure,smartphone,1529657284355000000,1018.32996,1010.47,0.0
Pressure,smartphone,1529657284394000000,1018.32996,1010.47,0.0
Pressure,smartphone,1529657284433000000,1018.2947,1010.4347,0.0
Pressure,smartphone,1529657284471000000,1018.2947,1010.4347,0.0
Pressure,smartphone,1529657284510000000,1018.2947,1010.4347,0.0
Pressure,smartphone,1529657284548000000,1018.2947,1010.4347,0.0
Pressure,smartphone,1529657284586000000,1018.3185,1010.4585,0.0
Pressure,smartphone,1529657284625000000,1018.3185,1010.4585,0.0
Pressure,smartphone,1529657284663000000,1018.3185,1010.4585,0.0
Pressure,smartphone,1529657284702000000,1018.3185,1010.4585,0.0
Pressure,smartphone,1529657284740000000,1018.31836,1010.4584,0.0
Pressure,smartphone,1529657284779000000,1018.31836,1010.4584,0.0
Pressure,smartphone,1529657284817000000,1018.31836,1010.4584,0.0
Pressure,smartphone,1529657284856000000,1018.31836,1010.4584,0.0
Pressure,smartphone,1529657284894000000,1018.3423,1010.4823,0.0
Pressure,smartphone,1529657284933000000,1018.3423,1010.4823,0.0
Pressure,smartphone,1529657284971000000,1018.3423,1010.4823,0.0
Pressure,smartphone,1529657285010000000,1018.3423,1010.4823,0.0
Pressure,smartphone,1529657285048000000,1018.3703,1010.5103,0.0
Pressure,smartphone,1529657285086000000,1018.3703,1010.5103,0.0
Pressure,smartphone,1529657285125000000,1018.3703,1010.5103,0.0
Pressure,smartphone,1529657285163000000,1018.3703,1010.5103,0.0
Pressure,smartphone,1529657285201000000,1018.4201,1010.5601,0.0
Pressure,smartphone,1529657285240000000,1018.4201,1010.5601,0.0
