sensor_type,device_type,timestamps,step
Step_Counter,smartphone,1529657621010000000,238.0
Step_Counter,smartphone,1529657623337000000,239.0
Step_Counter,smartphone,1529657623855000000,240.0
Step_Counter,smartphone,1529657624233000000,241.0
Step_Counter,smartphone,1529657624711000000,242.0
Step_Counter,smartphone,1529657625228000000,243.0
Step_Counter,smartphone,1529657634819000000,244.0
Step_Counter,smartphone,1529657639554000000,245.0
Step_Counter,smartphone,1529657640071000000,246.0
Step_Counter,smartphone,1529657648946000000,247.0
Step_Counter,smartphone,1529657649463000000,248.0
Step_Counter,smartphone,1529657650080000000,249.0
Step_Counter,smartphone,1529657650875000000,250.0
Step_Counter,smartphone,1529657651413000000,251.0
Step_Counter,smartphone,1529657652030000000,252.0
Step_Counter,smartphone,1529657652646000000,253.0
Step_Counter,smartphone,1529657653403000000,254.0
Step_Counter,smartphone,1529657654079000000,255.0
Step_Counter,smartphone,1529657657123000000,256.0
Step_Counter,smartphone,1529657657602000000,257.0
Step_Counter,smartphone,1529657676211000000,258.0
Step_Counter,smartphone,1529657676927000000,259.0
Step_Counter,smartphone,1529657677643000000,260.0
Step_Counter,smartphone,1529657680567000000,261.0
Step_Counter,smartphone,1529657680856000000,262.0
Step_Counter,smartphone,1529657681145000000,263.0
Step_Counter,smartphone,1529657681483000000,264.0
Step_Counter,smartphone,1529657682239000000,265.0
Step_Counter,smartphone,1529657684725000000,265.0
Step_Counter,smartphone,1529657686353000000,266.0
Step_Counter,smartphone,1529657686691000000,267.0
Step_Counter,smartphone,1529657754990000000,267.0
Step_Counter,smartphone,1529657756207000000,268.0
Step_Counter,smartphone,1529657756903000000,269.0
Step_Counter,smartphone,1529657757260000000,270.0
Step_Counter,smartphone,1529657757580000000,271.0
Step_Counter,smartphone,1529657758177000000,272.0
Step_Counter,smartphone,1529657758474000000,273.0
Step_Counter,smartphone,1529657758972000000,274.0
Step_Counter,smartphone,1529657759251000000,275.0
Step_Counter,smartphone,1529657759748000000,276.0
