sensor_type,device_type,timestamps,lux
TCS3400 ALS,smartphone,1528370356415000000,517.0
TCS3400 ALS,smartphone,1528370357231000000,518.0
TCS3400 ALS,smartphone,1528370357436000000,517.0
TCS3400 ALS,smartphone,1528370359275000000,518.0
TCS3400 ALS,smartphone,1528370359480000000,517.0
TCS3400 ALS,smartphone,1528370359889000000,518.0
TCS3400 ALS,smartphone,1528370360502000000,517.0
TCS3400 ALS,smartphone,1528370361523000000,518.0
TCS3400 ALS,smartphone,1528370361728000000,517.0
TCS3400 ALS,smartphone,1528370364385000000,515.0
TCS3400 ALS,smartphone,1528370364793000000,517.0
TCS3400 ALS,smartphone,1528370366019000000,518.0
TCS3400 ALS,smartphone,1528370366223000000,517.0
TCS3400 ALS,smartphone,1528370367858000000,518.0
TCS3400 ALS,smartphone,1528370368062000000,517.0
TCS3400 ALS,smartphone,1528370369289000000,518.0
TCS3400 ALS,smartphone,1528370369697000000,517.0
TCS3400 ALS,smartphone,1528370370719000000,515.0
TCS3400 ALS,smartphone,1528370370923000000,517.0
TCS3400 ALS,smartphone,1528370375827000000,515.0
TCS3400 ALS,smartphone,1528370376441000000,517.0
TCS3400 ALS,smartphone,1528370377666000000,515.0
TCS3400 ALS,smartphone,1528370378280000000,517.0
TCS3400 ALS,smartphone,1528370379096000000,518.0
TCS3400 ALS,smartphone,1528370380323000000,517.0
TCS3400 ALS,smartphone,1528370380527000000,518.0
TCS3400 ALS,smartphone,1528370381140000000,517.0
TCS3400 ALS,smartphone,1528370382979000000,518.0
TCS3400 ALS,smartphone,1528370383183000000,517.0
TCS3400 ALS,smartphone,1528370383797000000,518.0
TCS3400 ALS,smartphone,1528370385227000000,517.0
TCS3400 ALS,smartphone,1528370385431000000,518.0
TCS3400 ALS,smartphone,1528370386453000000,517.0
TCS3400 ALS,smartphone,1528370386658000000,518.0
TCS3400 ALS,smartphone,1528370387883000000,517.0
TCS3400 ALS,smartphone,1528370388088000000,518.0
TCS3400 ALS,smartphone,1528370388292000000,517.0
TCS3400 ALS,smartphone,1528370388701000000,518.0
TCS3400 ALS,smartphone,1528370388905000000,517.0
TCS3400 ALS,smartphone,1528370389109000000,518.0
TCS3400 ALS,smartphone,1528370389519000000,517.0
TCS3400 ALS,smartphone,1528370389723000000,518.0
TCS3400 ALS,smartphone,1528370389928000000,517.0
TCS3400 ALS,smartphone,1528370392379000000,518.0
TCS3400 ALS,smartphone,1528370392584000000,517.0
TCS3400 ALS,smartphone,1528370393605000000,515.0
TCS3400 ALS,smartphone,1528370394013000000,517.0
TCS3400 ALS,smartphone,1528370394218000000,515.0
TCS3400 ALS,smartphone,1528370395240000000,517.0
TCS3400 ALS,smartphone,1528370395444000000,515.0
TCS3400 ALS,smartphone,1528370395853000000,517.0
TCS3400 ALS,smartphone,1528370396466000000,515.0
TCS3400 ALS,smartphone,1528370396671000000,517.0
TCS3400 ALS,smartphone,1528370398510000000,518.0
TCS3400 ALS,smartphone,1528370399123000000,515.0
TCS3400 ALS,smartphone,1528370399326000000,514.0
TCS3400 ALS,smartphone,1528370399531000000,515.0
TCS3400 ALS,smartphone,1528370400348000000,517.0
TCS3400 ALS,smartphone,1528370400553000000,515.0
TCS3400 ALS,smartphone,1528370401166000000,517.0
TCS3400 ALS,smartphone,1528370401779000000,515.0
TCS3400 ALS,smartphone,1528370401983000000,517.0
TCS3400 ALS,smartphone,1528370403618000000,515.0
TCS3400 ALS,smartphone,1528370403823000000,514.0
TCS3400 ALS,smartphone,1528370404026000000,511.0
TCS3400 ALS,smartphone,1528370404232000000,510.0
TCS3400 ALS,smartphone,1528370404435000000,505.0
TCS3400 ALS,smartphone,1528370437132000000,511.0
TCS3400 ALS,smartphone,1528370437335000000,512.0
TCS3400 ALS,smartphone,1528370437539000000,514.0
TCS3400 ALS,smartphone,1528370437743000000,515.0
TCS3400 ALS,smartphone,1528370437948000000,512.0
TCS3400 ALS,smartphone,1528370438152000000,514.0
TCS3400 ALS,smartphone,1528370438356000000,515.0
TCS3400 ALS,smartphone,1528370438561000000,512.0
TCS3400 ALS,smartphone,1528370438765000000,500.0
TCS3400 ALS,smartphone,1528370438969000000,496.0
TCS3400 ALS,smartphone,1528370439787000000,483.0
TCS3400 ALS,smartphone,1528370439991000000,469.0
TCS3400 ALS,smartphone,1528370440196000000,473.0
TCS3400 ALS,smartphone,1528370440400000000,448.0
TCS3400 ALS,smartphone,1528370440604000000,382.0
TCS3400 ALS,smartphone,1528370440808000000,305.0
TCS3400 ALS,smartphone,1528370441013000000,278.0
TCS3400 ALS,smartphone,1528370441217000000,266.0
TCS3400 ALS,smartphone,1528370441421000000,315.0
TCS3400 ALS,smartphone,1528370441626000000,351.0
TCS3400 ALS,smartphone,1528370441830000000,380.0
TCS3400 ALS,smartphone,1528370442034000000,425.0
TCS3400 ALS,smartphone,1528370442238000000,410.0
TCS3400 ALS,smartphone,1528370442442000000,401.0
TCS3400 ALS,smartphone,1528370442852000000,378.0
TCS3400 ALS,smartphone,1528370443056000000,351.0
TCS3400 ALS,smartphone,1528370443261000000,371.0
TCS3400 ALS,smartphone,1528370443464000000,360.0
TCS3400 ALS,smartphone,1528370443669000000,382.0
TCS3400 ALS,smartphone,1528370443874000000,400.0
TCS3400 ALS,smartphone,1528370444078000000,414.0
TCS3400 ALS,smartphone,1528370444282000000,446.0
TCS3400 ALS,smartphone,1528370444487000000,486.0
TCS3400 ALS,smartphone,1528370444691000000,515.0
TCS3400 ALS,smartphone,1528370444895000000,524.0
TCS3400 ALS,smartphone,1528370445099000000,517.0
TCS3400 ALS,smartphone,1528370445303000000,497.0
TCS3400 ALS,smartphone,1528370445508000000,464.0
TCS3400 ALS,smartphone,1528370445712000000,423.0
TCS3400 ALS,smartphone,1528370445917000000,379.0
TCS3400 ALS,smartphone,1528370446121000000,330.0
TCS3400 ALS,smartphone,1528370446326000000,308.0
TCS3400 ALS,smartphone,1528370446530000000,240.0
TCS3400 ALS,smartphone,1528370446735000000,155.0
TCS3400 ALS,smartphone,1528370446938000000,157.0
TCS3400 ALS,smartphone,1528370447143000000,145.0
TCS3400 ALS,smartphone,1528370447347000000,87.0
TCS3400 ALS,smartphone,1528370447551000000,36.0
TCS3400 ALS,smartphone,1528370447755000000,34.0
TCS3400 ALS,smartphone,1528370447960000000,33.0
TCS3400 ALS,smartphone,1528370448165000000,52.0
TCS3400 ALS,smartphone,1528370448369000000,61.0
TCS3400 ALS,smartphone,1528370448573000000,38.0
TCS3400 ALS,smartphone,1528370448777000000,26.0
TCS3400 ALS,smartphone,1528370449186000000,22.0
TCS3400 ALS,smartphone,1528370449391000000,0.0
TCS3400 ALS,smartphone,1528370451069000000,0.0
TCS3400 ALS,smartphone,1528370499500000000,13.0
TCS3400 ALS,smartphone,1528370499704000000,63.0
TCS3400 ALS,smartphone,1528370499908000000,27.0
TCS3400 ALS,smartphone,1528370500113000000,43.0
TCS3400 ALS,smartphone,1528370500318000000,137.0
TCS3400 ALS,smartphone,1528370500522000000,237.0
TCS3400 ALS,smartphone,1528370500726000000,257.0
TCS3400 ALS,smartphone,1528370500930000000,259.0
TCS3400 ALS,smartphone,1528370501134000000,258.0
TCS3400 ALS,smartphone,1528370501339000000,261.0
TCS3400 ALS,smartphone,1528370501543000000,259.0
TCS3400 ALS,smartphone,1528370501747000000,258.0
TCS3400 ALS,smartphone,1528370501952000000,241.0
TCS3400 ALS,smartphone,1528370502156000000,237.0
TCS3400 ALS,smartphone,1528370502360000000,246.0
TCS3400 ALS,smartphone,1528370502565000000,222.0
TCS3400 ALS,smartphone,1528370502974000000,214.0
TCS3400 ALS,smartphone,1528370503178000000,209.0
TCS3400 ALS,smartphone,1528370503382000000,218.0
TCS3400 ALS,smartphone,1528370503587000000,189.0
TCS3400 ALS,smartphone,1528370503791000000,104.0
TCS3400 ALS,smartphone,1528370503996000000,18.0
TCS3400 ALS,smartphone,1528370504200000000,9.0
TCS3400 ALS,smartphone,1528370504404000000,15.0
TCS3400 ALS,smartphone,1528370504609000000,19.0
TCS3400 ALS,smartphone,1528370504813000000,77.0
TCS3400 ALS,smartphone,1528370505017000000,84.0
TCS3400 ALS,smartphone,1528370505222000000,38.0
TCS3400 ALS,smartphone,1528370505426000000,22.0
TCS3400 ALS,smartphone,1528370505631000000,41.0
TCS3400 ALS,smartphone,1528370505835000000,36.0
TCS3400 ALS,smartphone,1528370506039000000,13.0
TCS3400 ALS,smartphone,1528370506244000000,11.0
TCS3400 ALS,smartphone,1528370506448000000,4.0
TCS3400 ALS,smartphone,1528370506652000000,0.0
