sensor_type,device_type,timestamps,x,y,z
AK09911 Magnetometer,smartphone,1528370176619000000,-16.165161,19.747925,-35.56671
AK09911 Magnetometer,smartphone,1528370176640000000,-14.4470215,18.408203,-37.054443
AK09911 Magnetometer,smartphone,1528370176660000000,-16.21399,21.057129,-36.953735
AK09911 Magnetometer,smartphone,1528370176679000000,-14.49585,19.717407,-38.442993
AK09911 Magnetometer,smartphone,1528370176700000000,-13.114929,19.593811,-38.619995
AK09911 Magnetometer,smartphone,1528370176720000000,-11.494446,20.90149,-38.589478
AK09911 Magnetometer,smartphone,1528370176739000000,-15.6188965,19.615173,-37.88452
AK09911 Magnetometer,smartphone,1528370176759000000,-12.280273,19.578552,-40.0589
AK09911 Magnetometer,smartphone,1528370176779000000,-11.445618,19.58313,-38.632202
AK09911 Magnetometer,smartphone,1528370176800000000,-12.3046875,20.257568,-37.173462
AK09911 Magnetometer,smartphone,1528370176819000000,-12.303162,20.263672,-36.4563
AK09911 Magnetometer,smartphone,1528370176839000000,-14.8376465,20.758057,-35.284424
AK09911 Magnetometer,smartphone,1528370176860000000,-15.72113,22.08252,-35.23407
AK09911 Magnetometer,smartphone,1528370176879000000,-15.72113,22.071838,-36.66687
AK09911 Magnetometer,smartphone,1528370176900000000,-14.027405,21.401978,-36.70044
AK09911 Magnetometer,smartphone,1528370176919000000,-15.696716,21.408081,-37.40387
AK09911 Magnetometer,smartphone,1528370176940000000,-15.745544,22.731018,-36.645508
AK09911 Magnetometer,smartphone,1528370176959000000,-14.886475,22.05658,-38.104248
AK09911 Magnetometer,smartphone,1528370176980000000,-14.813232,20.089722,-36.738586
AK09911 Magnetometer,smartphone,1528370176999000000,-16.531372,21.42334,-35.96649
AK09911 Magnetometer,smartphone,1528370177019000000,-17.141724,16.622925,-37.194824
AK09911 Magnetometer,smartphone,1528370177039000000,-15.447998,15.942383,-38.661194
AK09911 Magnetometer,smartphone,1528370177059000000,-15.545654,18.59436,-36.427307
AK09911 Magnetometer,smartphone,1528370177079000000,-16.355896,17.945862,-35.725403
AK09911 Magnetometer,smartphone,1528370177099000000,-15.496826,17.280579,-35.754395
AK09911 Magnetometer,smartphone,1528370177119000000,-17.166138,17.277527,-37.8891
AK09911 Magnetometer,smartphone,1528370177139000000,-17.97638,16.633606,-36.473083
AK09911 Magnetometer,smartphone,1528370177160000000,-15.348816,20.56427,-38.763428
AK09911 Magnetometer,smartphone,1528370177179000000,-16.159058,19.92035,-37.347412
AK09911 Magnetometer,smartphone,1528370177199000000,-15.275574,18.600464,-36.68213
AK09911 Magnetometer,smartphone,1528370177219000000,-15.299988,19.250488,-38.09204
AK09911 Magnetometer,smartphone,1528370177239000000,-16.183472,20.573425,-38.041687
AK09911 Magnetometer,smartphone,1528370177259000000,-15.324402,19.914246,-37.353516
AK09911 Magnetometer,smartphone,1528370177279000000,-16.920471,17.947388,-37.40692
AK09911 Magnetometer,smartphone,1528370177299000000,-17.066956,21.89331,-38.70697
AK09911 Magnetometer,smartphone,1528370177319000000,-16.207886,21.228027,-38.735962
AK09911 Magnetometer,smartphone,1528370177339000000,-16.993713,19.915771,-38.772583
AK09911 Magnetometer,smartphone,1528370177359000000,-15.563965,20.219421,-35.85663
AK09911 Magnetometer,smartphone,1528370177379000000,-12.200928,19.52362,-38.05237
AK09911 Magnetometer,smartphone,1528370177399000000,-14.657593,18.222046,-38.076782
AK09911 Magnetometer,smartphone,1528370177420000000,-15.539551,19.555664,-36.595154
AK09911 Magnetometer,smartphone,1528370177439000000,-13.0355835,19.534302,-37.330627
