sensor_type,device_type,timestamps,steps
Step Counter,smartphone,1528370635767000000,4179.0
Step Counter,smartphone,1528370638276000000,4179.0
Step Counter,smartphone,1528370647195000000,4179.0
Step Counter,smartphone,1528370647198000000,4179.0
Step Counter,smartphone,1528370647201000000,4179.0
Step Counter,smartphone,1528370649856000000,4193.0
Step Counter,smartphone,1528370650966000000,4196.0
Step Counter,smartphone,1528370651714000000,4198.0
Step Counter,smartphone,1528370652865000000,4201.0
Step Counter,smartphone,1528370653916000000,4204.0
Step Counter,smartphone,1528370655026000000,4207.0
Step Counter,smartphone,1528370655753000000,4209.0
Step Counter,smartphone,1528370656845000000,4212.0
Step Counter,smartphone,1528370657975000000,4215.0
Step Counter,smartphone,1528370658723000000,4217.0
Step Counter,smartphone,1528370659813000000,4220.0
Step Counter,smartphone,1528370660925000000,4223.0
Step Counter,smartphone,1528370662016000000,4226.0
Step Counter,smartphone,1528370662763000000,4228.0
Step Counter,smartphone,1528370663873000000,4231.0
Step Counter,smartphone,1528370664964000000,4234.0
Step Counter,smartphone,1528370665692000000,4236.0
Step Counter,smartphone,1528370666843000000,4239.0
Step Counter,smartphone,1528370667914000000,4242.0
Step Counter,smartphone,1528370669024000000,4245.0
Step Counter,smartphone,1528370669751000000,4247.0
Step Counter,smartphone,1528370670822000000,4250.0
Step Counter,smartphone,1528370671993000000,4253.0
Step Counter,smartphone,1528370673084000000,4256.0
Step Counter,smartphone,1528370673832000000,4258.0
Step Counter,smartphone,1528370674962000000,4261.0
Step Counter,smartphone,1528370676033000000,4264.0
Step Counter,smartphone,1528370676781000000,4266.0
Step Counter,smartphone,1528370677931000000,4269.0
Step Counter,smartphone,1528370679043000000,4272.0
Step Counter,smartphone,1528370679770000000,4274.0
Step Counter,smartphone,1528370680902000000,4277.0
Step Counter,smartphone,1528370681992000000,4280.0
Step Counter,smartphone,1528370682740000000,4282.0
Step Counter,smartphone,1528370683891000000,4285.0
Step Counter,smartphone,1528370684981000000,4288.0
Step Counter,smartphone,1528370686113000000,4291.0
Step Counter,smartphone,1528370686840000000,4293.0
Step Counter,smartphone,1528370687950000000,4296.0
Step Counter,smartphone,1528370689082000000,4299.0
Step Counter,smartphone,1528370689809000000,4301.0
Step Counter,smartphone,1528370690899000000,4304.0
Step Counter,smartphone,1528370692031000000,4307.0
Step Counter,smartphone,1528370692778000000,4309.0
Step Counter,smartphone,1528370693868000000,4312.0
Step Counter,smartphone,1528370695020000000,4315.0
Step Counter,smartphone,1528370696090000000,4318.0
Step Counter,smartphone,1528370696818000000,4320.0
Step Counter,smartphone,1528370697949000000,4323.0
Step Counter,smartphone,1528370699039000000,4326.0
Step Counter,smartphone,1528370700151000000,4329.0
Step Counter,smartphone,1528370700878000000,4331.0
Step Counter,smartphone,1528370701948000000,4334.0
Step Counter,smartphone,1528370703100000000,4337.0
Step Counter,smartphone,1528370703846000000,4339.0
Step Counter,smartphone,1528370704917000000,4342.0
Step Counter,smartphone,1528370706089000000,4345.0
Step Counter,smartphone,1528370706877000000,4347.0
Step Counter,smartphone,1528370707927000000,4350.0
Step Counter,smartphone,1528370709078000000,4353.0
Step Counter,smartphone,1528370710149000000,4356.0
Step Counter,smartphone,1528370710876000000,4358.0
Step Counter,smartphone,1528370712007000000,4361.0
Step Counter,smartphone,1528370713058000000,4364.0
Step Counter,smartphone,1528370713805000000,4366.0
Step Counter,smartphone,1528370714956000000,4369.0
Step Counter,smartphone,1528370716047000000,4372.0
Step Counter,smartphone,1528370716795000000,4374.0
Step Counter,smartphone,1528370717926000000,4377.0
Step Counter,smartphone,1528370719016000000,4380.0
Step Counter,smartphone,1528370720107000000,4383.0
Step Counter,smartphone,1528370720875000000,4385.0
Step Counter,smartphone,1528370721884000000,4388.0
Step Counter,smartphone,1528370723016000000,4391.0
Step Counter,smartphone,1528370724106000000,4394.0
Step Counter,smartphone,1528370724955000000,4396.0
Step Counter,smartphone,1528370725964000000,4399.0
Step Counter,smartphone,1528370727888000000,4403.0
Step Counter,smartphone,1528370727893000000,4403.0
Step Counter,smartphone,1528370727897000000,4403.0
Step Counter,smartphone,1528370728512000000,4406.0
Step Counter,smartphone,1528370729603000000,4409.0
Step Counter,smartphone,1528370730693000000,4412.0
Step Counter,smartphone,1528370731421000000,4414.0
Step Counter,smartphone,1528370732552000000,4417.0
Step Counter,smartphone,1528370733622000000,4420.0
Step Counter,smartphone,1528370734753000000,4423.0
Step Counter,smartphone,1528370735481000000,4425.0
Step Counter,smartphone,1528370736572000000,4428.0
Step Counter,smartphone,1528370737683000000,4431.0
Step Counter,smartphone,1528370738753000000,4434.0
Step Counter,smartphone,1528370739480000000,4436.0
Step Counter,smartphone,1528370740591000000,4439.0
Step Counter,smartphone,1528370741662000000,4442.0
Step Counter,smartphone,1528370742389000000,4444.0
Step Counter,smartphone,1528370743560000000,4447.0
Step Counter,smartphone,1528370744651000000,4450.0
Step Counter,smartphone,1528370745783000000,4453.0
Step Counter,smartphone,1528370746510000000,4455.0
Step Counter,smartphone,1528370747600000000,4458.0
Step Counter,smartphone,1528370748590000000,4461.0
Step Counter,smartphone,1528370749559000000,4464.0
Step Counter,smartphone,1528370750589000000,4467.0
Step Counter,smartphone,1528370751559000000,4470.0
Step Counter,smartphone,1528370752549000000,4473.0
