,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,step_counter_steps,labelOnTable,labelWalking,labelRunning,light_phone_lux,mag_phone_x,mag_phone_y,mag_phone_z
2018-06-07 11:16:37.165,0.124273820071,0.246138293687,9.83598946465,4.70095186869e-06,-0.000370295359192,4.51598442424e-05,3860.0,1,0,0,516.444444444,-14.5557251,19.31658928,-33.96795648
2018-06-07 11:16:37.665,0.124062123677,0.245890376465,9.83517287879,0.000160679685354,-9.57142227273e-05,-8.38462805051e-05,3860.0,1,0,0,516.166666667,-15.53009024,17.8761596,-35.26812752
2018-06-07 11:16:38.165,0.12768369702,0.243785973586,9.83766397727,4.7009540404e-06,-1.54129167677e-05,-0.00028806744697,3860.0,1,0,0,515.888888889,-15.86065676,18.39825452,-35.366394
2018-06-07 11:16:38.665,0.122732220071,0.243900260859,9.83913282323,0.000145610267437,-0.000188242849849,-0.000199361066935,3860.0,1,0,0,515.611111111,-16.11901864,18.6523438,-34.4572144
2018-06-07 11:16:39.165,0.128161189384,0.244716760253,9.83968964394,-0.000651635482589,-0.000104565304772,-3.15245104569e-05,3860.0,1,0,0,515.333333333,-15.22485346,18.46734612,-34.5665284
2018-06-07 11:16:39.665,0.121050978717,0.241034767677,9.83826215657,-0.000282632632864,-3.32012872362e-05,-0.000220524011558,3860.0,1,0,0,515.055555556,-15.20434574,19.00805668,-34.91656512
2018-06-07 11:16:40.165,0.123372780601,0.242842471919,9.83763438131,0.000943721266447,-0.000759453940914,-9.11654625381e-05,3860.0,1,0,0,514.777777778,-14.8002929,19.41253668,-35.23858648
2018-06-07 11:16:40.665,0.129673119359,0.247909006313,9.8356387197,0.000772217424171,-0.000424409031156,-0.000156421762915,3860.0,1,0,0,514.5,-15.2960204,20.40679924,-34.582947
2018-06-07 11:16:41.165,0.132211627162,0.249500005152,9.83669685354,-0.000196970043249,-0.000213080856345,5.80917736041e-06,3860.0,1,0,0,514.5,-16.1757812,18.67108168,-34.56109612
2018-06-07 11:16:41.665,0.126946111793,0.247250412525,9.83747668939,-0.000282555950251,-8.66453842211e-05,0.000132881809246,3860.0,1,0,0,512.0,-16.1929931,18.53308112,-34.12054452
2018-06-07 11:16:42.165,0.128566240525,0.247431822576,9.83648514394,-0.000191470679036,-0.000126795114112,-0.000183028020508,3860.0,1,0,0,516.0,-16.76513676,18.83850108,-35.22918696
2018-06-07 11:16:42.665,0.129999410606,0.251531273586,9.83828594697,-3.25983065657e-05,-0.000138870394141,-0.000174936625455,3860.0,1,0,0,517.5,-15.47894292,18.23718268,-34.57226548
2018-06-07 11:16:43.165,0.131837170051,0.250001541162,9.83765806566,-0.000213776385829,-0.000220754036583,-0.000123833896683,3860.0,1,0,0,503.0,-15.47332762,18.6157228,-34.65649416
2018-06-07 11:16:43.665,0.128070252889,0.247467734697,9.83334707071,-0.000726873213131,0.000205377135455,-0.000148041084949,3860.0,1,0,0,496.5,-15.1681519,17.7582397,-35.17938248
2018-06-07 11:16:44.165,0.125482963626,0.249402903535,9.83734390404,-0.00138870392535,0.000194202764646,-1.91120236364e-05,3860.0,1,0,0,511.0,-16.6985731538,17.7909264231,-35.6218191154
2018-06-07 11:16:44.665,0.125337388394,0.240642355051,9.8386677197,0.000386247743788,-0.000343399818687,-0.000131934585051,3860.0,1,0,0,518.0,-15.66870114,18.66625972,-35.19219968
2018-06-07 11:16:45.165,0.125114286525,0.242515872273,9.83439243687,-4.35414787879e-05,-0.000111820721919,0.000104884902222,3860.0,1,0,0,516.0,-16.5253296,18.387207,-35.55633532
2018-06-07 11:16:45.665,0.123197459081,0.241960236364,9.83623126263,-2.20404577273e-05,-0.000413143273131,0.000163993439495,3860.0,1,0,0,518.5,-16.56134032,18.15863044,-34.34722892
2018-06-07 11:16:46.165,0.123342263091,0.242110820909,9.83343751263,2.61249139899e-05,-0.000133090548586,-6.27305822222e-05,3860.0,1,0,0,518.0,-15.53875748,18.75341792,-35.55657952
2018-06-07 11:16:46.665,0.125918670653,0.240236138593,9.8339240201,-0.000188808234747,-0.000192738542929,-6.68920719192e-05,3860.0,1,0,0,517.8,-15.18048096,18.67047116,-35.98175036
2018-06-07 11:16:47.165,0.123274594701,0.24099142802,9.83452088579,-5.48699737374e-05,4.95525310101e-05,-0.000240210337172,3860.0,1,0,0,517.6,-16.90570072,18.83612064,-35.41021736
2018-06-07 11:16:47.665,0.127073345192,0.243798227273,9.8373197803,-0.000329142853737,-0.000122532700404,-9.40958726263e-05,3860.0,1,0,0,517.4,-15.3997192,18.47326652,-34.94946316
2018-06-07 11:16:48.165,0.126038594256,0.241421263317,9.83477198492,-0.000372067831212,-0.00023019193404,8.28444271717e-05,3860.0,1,0,0,517.2,-16.04406748,18.84606944,-35.53515612
2018-06-07 11:16:48.665,0.125243753157,0.242425986548,9.83418641117,-0.000441965416465,2.21946040404e-05,-0.000298394104242,3860.0,1,0,0,517.0,-16.11401356,18.17590336,-35.08752428
2018-06-07 11:16:49.165,0.125029207227,0.236204822071,9.83406670202,-7.61398022222e-05,3.89176164646e-05,0.000233968090808,3860.0,1,0,0,515.0,-16.29589844,18.9414062,-34.9379882
2018-06-07 11:16:49.665,0.128082583348,0.241409995303,9.83755509596,-6.45801125253e-05,-2.68184777778e-05,-0.000120683156263,3860.0,1,0,0,517.0,-16.02673328,19.4605102,-34.62207028
2018-06-07 11:16:50.165,0.126496051256,0.243038848794,9.83609522111,-0.000258782885505,-0.000429480962424,-0.000218632248182,3860.0,1,0,0,515.0,-15.34411618,19.27636716,-35.20227052
2018-06-07 11:16:50.665,0.125041460485,0.242153668535,9.83518541414,-7.06682171212e-05,-0.00010141700101,-7.77581792929e-05,3860.0,1,0,0,516.0,-16.10064704,19.20758052,-34.99359136
2018-06-07 11:16:51.165,0.125482192818,0.238731615101,9.83622484091,-0.000162066821162,-1.47964e-05,-0.000362974229394,3860.0,1,0,0,517.0,-15.64990228,18.79150392,-36.23016368
2018-06-07 11:16:51.665,0.125295156929,0.242184263636,9.83716242424,-3.84552174747e-05,-5.27892448485e-05,-0.000148580536768,3860.0,1,0,0,515.666666667,-16.09014882,18.45379632,-35.27673332
